web-scraper-order,web-scraper-start-url,player,player-href,self-win,r-top,r-top-href,r-jungle,r-jungle-href,r-mid,r-mid-href,r-bot,r-bot-href,r-sup,r-sup-href,b-top,b-top-href,b-jungle,b-jungle-href,b-mid,b-mid-href,b-bot,b-bot-href,b-sup,b-sup-href,self-champ,self-champ-href
1664079369-41,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,,,,,,,,,,,,,,,,,,,,,15,https://na.op.gg/champions/evelynn
1664079369-42,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,17,https://na.op.gg/champions/quinn,,,15,https://na.op.gg/champions/rumble,15,https://na.op.gg/champions/samira,13,https://na.op.gg/champions/nautilus,15,https://na.op.gg/champions/lillia,13,https://na.op.gg/champions/trundle,14,https://na.op.gg/champions/taliyah,13,https://na.op.gg/champions/missfortune,12,https://na.op.gg/champions/pyke,15,https://na.op.gg/champions/evelynn
1664079369-43,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,,,,,,,,,,,,,,,,,,,,,12,https://na.op.gg/champions/evelynn
1664079369-44,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,14,https://na.op.gg/champions/udyr,14,https://na.op.gg/champions/viego,15,https://na.op.gg/champions/akshan,14,https://na.op.gg/champions/nilah,13,https://na.op.gg/champions/yuumi,13,https://na.op.gg/champions/fiora,,,14,https://na.op.gg/champions/ahri,13,https://na.op.gg/champions/vayne,10,https://na.op.gg/champions/maokai,12,https://na.op.gg/champions/evelynn
1664079369-45,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,,,,,,,,,,,,,,,,,,,,,16,https://na.op.gg/champions/evelynn
1664079369-46,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,17,https://na.op.gg/champions/maokai,17,https://na.op.gg/champions/graves,16,https://na.op.gg/champions/lux,15,https://na.op.gg/champions/ashe,14,https://na.op.gg/champions/seraphine,16,https://na.op.gg/champions/garen,,,15,https://na.op.gg/champions/ahri,16,https://na.op.gg/champions/nilah,13,https://na.op.gg/champions/amumu,16,https://na.op.gg/champions/evelynn
1664079369-47,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,,,,,,,,,,,,,,,,,,,,,17,https://na.op.gg/champions/evelynn
1664079369-48,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,16,https://na.op.gg/champions/vayne,,,17,https://na.op.gg/champions/yasuo,15,https://na.op.gg/champions/tristana,15,https://na.op.gg/champions/renata,15,https://na.op.gg/champions/azir,16,https://na.op.gg/champions/udyr,15,https://na.op.gg/champions/galio,15,https://na.op.gg/champions/ezreal,13,https://na.op.gg/champions/karma,17,https://na.op.gg/champions/evelynn
1664079369-49,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,,,,,,,,,,,,,,,,,,,,,12,https://na.op.gg/champions/evelynn
1664079369-50,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,15,https://na.op.gg/champions/renekton,16,https://na.op.gg/champions/lillia,14,https://na.op.gg/champions/galio,14,https://na.op.gg/champions/twitch,12,https://na.op.gg/champions/braum,14,https://na.op.gg/champions/ornn,,,13,https://na.op.gg/champions/diana,12,https://na.op.gg/champions/ezreal,12,https://na.op.gg/champions/senna,12,https://na.op.gg/champions/evelynn
1664079369-51,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,,,,,,,,,,,,,,,,,,,,,15,https://na.op.gg/champions/evelynn
1664079369-52,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,16,https://na.op.gg/champions/maokai,,,15,https://na.op.gg/champions/vex,14,https://na.op.gg/champions/draven,13,https://na.op.gg/champions/renata,14,https://na.op.gg/champions/malphite,14,https://na.op.gg/champions/leesin,13,https://na.op.gg/champions/taliyah,14,https://na.op.gg/champions/tristana,12,https://na.op.gg/champions/pyke,15,https://na.op.gg/champions/evelynn
1664079369-53,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,,,,,,,,,,,,,,,,,,,,,17,https://na.op.gg/champions/evelynn
1664079369-54,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,18,https://na.op.gg/champions/jinx,18,https://na.op.gg/champions/kogmaw,18,https://na.op.gg/champions/kled,,,18,https://na.op.gg/champions/rakan,16,https://na.op.gg/champions/maokai,17,https://na.op.gg/champions/malzahar,17,https://na.op.gg/champions/kaisa,17,https://na.op.gg/champions/gragas,16,https://na.op.gg/champions/poppy,17,https://na.op.gg/champions/evelynn
1664079369-55,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,,,,,,,,,,,,,,,,,,,,,14,https://na.op.gg/champions/evelynn
1664079369-56,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,16,https://na.op.gg/champions/riven,,,14,https://na.op.gg/champions/drmundo,13,https://na.op.gg/champions/missfortune,12,https://na.op.gg/champions/janna,13,https://na.op.gg/champions/volibear,11,https://na.op.gg/champions/viego,14,https://na.op.gg/champions/viktor,13,https://na.op.gg/champions/ezreal,10,https://na.op.gg/champions/nautilus,14,https://na.op.gg/champions/evelynn
1664079369-57,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,,,,,,,,,,,,,,,,,,,,,17,https://na.op.gg/champions/evelynn
1664079369-58,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,16,https://na.op.gg/champions/sett,,,13,https://na.op.gg/champions/diana,14,https://na.op.gg/champions/xayah,14,https://na.op.gg/champions/renata,14,https://na.op.gg/champions/zed,13,https://na.op.gg/champions/morgana,13,https://na.op.gg/champions/vex,13,https://na.op.gg/champions/missfortune,12,https://na.op.gg/champions/heimerdinger,17,https://na.op.gg/champions/evelynn
1664079369-59,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,,,,,,,,,,,,,,,,,,,,,10,https://na.op.gg/champions/evelynn
1664079369-60,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,11,https://na.op.gg/champions/urgot,11,https://na.op.gg/champions/zed,11,https://na.op.gg/champions/annie,11,https://na.op.gg/champions/caitlyn,,,12,https://na.op.gg/champions/aatrox,10,https://na.op.gg/champions/rammus,10,https://na.op.gg/champions/yone,10,https://na.op.gg/champions/tristana,10,https://na.op.gg/champions/lux,10,https://na.op.gg/champions/evelynn
1664079369-61,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,,,,,,,,,,,,,,,,,,,,,17,https://na.op.gg/champions/evelynn
1664079369-62,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,18,https://na.op.gg/champions/heimerdinger,,,18,https://na.op.gg/champions/gangplank,17,https://na.op.gg/champions/kaisa,16,https://na.op.gg/champions/morgana,18,https://na.op.gg/champions/poppy,17,https://na.op.gg/champions/diana,18,https://na.op.gg/champions/yasuo,16,https://na.op.gg/champions/samira,13,https://na.op.gg/champions/swain,17,https://na.op.gg/champions/evelynn
1664079369-63,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,,,,,,,,,,,,,,,,,,,,,13,https://na.op.gg/champions/evelynn
1664079369-64,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,16,https://na.op.gg/champions/shen,16,https://na.op.gg/champions/ekko,16,https://na.op.gg/champions/ahri,15,https://na.op.gg/champions/twitch,14,https://na.op.gg/champions/renata,16,https://na.op.gg/champions/trundle,,,14,https://na.op.gg/champions/sylas,13,https://na.op.gg/champions/ezreal,12,https://na.op.gg/champions/yuumi,13,https://na.op.gg/champions/evelynn
1664079369-65,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,,,,,,,,,,,,,,,,,,,,,11,https://na.op.gg/champions/evelynn
1664079369-66,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,15,https://na.op.gg/champions/aatrox,13,https://na.op.gg/champions/ekko,12,https://na.op.gg/champions/fizz,12,https://na.op.gg/champions/sivir,12,https://na.op.gg/champions/yuumi,13,https://na.op.gg/champions/tryndamere,,,13,https://na.op.gg/champions/vladimir,10,https://na.op.gg/champions/ezreal,10,https://na.op.gg/champions/leona,11,https://na.op.gg/champions/evelynn
1664079369-67,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,,,,,,,,,,,,,,,,,,,,,15,https://na.op.gg/champions/evelynn
1664079369-68,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,16,https://na.op.gg/champions/jarvaniv,,,18,https://na.op.gg/champions/viktor,17,https://na.op.gg/champions/twitch,15,https://na.op.gg/champions/zilean,16,https://na.op.gg/champions/irelia,16,https://na.op.gg/champions/udyr,14,https://na.op.gg/champions/zoe,15,https://na.op.gg/champions/zeri,13,https://na.op.gg/champions/lulu,15,https://na.op.gg/champions/evelynn
1664079369-69,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,,,,,,,,,,,,,,,,,,,,,18,https://na.op.gg/champions/xerath
1664079369-70,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,18,https://na.op.gg/champions/morgana,18,https://na.op.gg/champions/trundle,18,https://na.op.gg/champions/zilean,18,https://na.op.gg/champions/brand,18,https://na.op.gg/champions/chogath,18,https://na.op.gg/champions/rell,18,https://na.op.gg/champions/pyke,,,18,https://na.op.gg/champions/sivir,17,https://na.op.gg/champions/rengar,18,https://na.op.gg/champions/xerath
1664079369-71,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,,,,,,,,,,,,,,,,,,,,,17,https://na.op.gg/champions/evelynn
1664079369-72,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Victory,18,https://na.op.gg/champions/illaoi,,,17,https://na.op.gg/champions/ahri,15,https://na.op.gg/champions/tristana,15,https://na.op.gg/champions/ashe,17,https://na.op.gg/champions/akali,14,https://na.op.gg/champions/graves,15,https://na.op.gg/champions/zed,15,https://na.op.gg/champions/kogmaw,13,https://na.op.gg/champions/soraka,17,https://na.op.gg/champions/evelynn
1664079369-73,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,,,,,,,,,,,,,,,,,,,,,12,https://na.op.gg/champions/evelynn
1664079369-74,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,16,https://na.op.gg/champions/singed,16,https://na.op.gg/champions/shyvana,15,https://na.op.gg/champions/seraphine,14,https://na.op.gg/champions/xayah,13,https://na.op.gg/champions/yuumi,14,https://na.op.gg/champions/kayle,,,14,https://na.op.gg/champions/garen,11,https://na.op.gg/champions/kalista,11,https://na.op.gg/champions/renata,12,https://na.op.gg/champions/evelynn
1664079369-75,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,,,,,,,,,,,,,,,,,,,,,18,https://na.op.gg/champions/kayn
1664079369-76,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,18,https://na.op.gg/champions/jinx,18,https://na.op.gg/champions/zilean,18,https://na.op.gg/champions/pyke,18,https://na.op.gg/champions/nami,18,https://na.op.gg/champions/kogmaw,18,https://na.op.gg/champions/ahri,,,18,https://na.op.gg/champions/qiyana,18,https://na.op.gg/champions/akali,18,https://na.op.gg/champions/kayle,18,https://na.op.gg/champions/kayn
1664079369-77,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,,,,,,,,,,,,,,,,,,,,,13,https://na.op.gg/champions/ziggs
1664079369-78,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,14,https://na.op.gg/champions/viego,14,https://na.op.gg/champions/rammus,15,https://na.op.gg/champions/ornn,14,https://na.op.gg/champions/brand,14,https://na.op.gg/champions/jinx,13,https://na.op.gg/champions/alistar,13,https://na.op.gg/champions/renata,,,13,https://na.op.gg/champions/senna,13,https://na.op.gg/champions/seraphine,13,https://na.op.gg/champions/ziggs
1664079369-79,https://na.op.gg/leaderboards/champions?region=na,TheDarkLight,https://na.op.gg/summoners/na/TheDarkLight,Defeat,,,,,,,,,,,,,,,,,,,,,17,https://na.op.gg/champions/evelynn
